Content,Author,Date Created,Last Changed
"boğaziçi üniversitesi mühendislik fakültesi endüstri mühendisliği bölümünü birincilikle bitiren, kandilli rasathanesi müdürü prof. dr. gülay barbarosoğlu ile nato için helikopter projesi beğenilince, abd’deki 9 üniversitenin ‘onur bursu’ vermek istediği,  28 bin dolar öğrenim ücreti,+2 bin 500 dolar cep harçlığı + lüks villa teklifi ile prınceton'u secen,  tezleriyle dikkat cekerek yardımcı profesor olan, bu basarisiyla yilin öğretmeni seçilerek new york times'a haber olduktan sonra finans devlerinin peşine düştüğü, ülkelerin risk analizini yapan bölümde yöneticilik + yıllık 180 bin dolar maaş ile goldman sachs ın teklifini kabul eden ve henüz 25 yaşinda olan kizimiz.gurur duyuyoruz ve beyin göçü engellensin artik diyoruz.",brenda,26.08.2005 08:38,08:39
adı geçen şahsın linked in sayfası için;http://www.linkedin.com/…fize-gaye-erkan/30/b22/137(cv si silindiğinden ötürü),pillibebek,26.08.2005 08:50,10.09.2013 18:12
goldman sachs'ın 2012'de managing director'larından biri olmuştur: http://www.bloomberg.com/…est-group-since-2008.html,507,19.11.2011 02:07,null
first republic bank'taki linki. https://www.firstrepublic.com/…es/hafize-gaye-erkan,slender,11.05.2016 23:00,null
"http://www.hurriyet.com.tr/…n-baskani-oldu-40455295adından simdi haberim olan kadın. ilk entriye bakılarak, ""yedisinde neyse yetmisinde o olur"" lafının dogruluguna kanıt oldugu soylenebilir.helal olsun",bayanlazarus,12.05.2017 10:45,null
"yakın bir gelecekte first republic bank'in başına geçecek olan gururumuz. ortaokuldan beri disiplinli ve hedefe yönelik çalışma tarzıyla buralara gelmesi bizim için hiçbir zaman sürpriz olmadı, umuyorum buraya dönmek gibi büyük bir hataya düşmez.",vieri,13.05.2017 21:16,null
rekorları kıra kıra ilerleyen gurur kaynağı fevkal beşer.,sozluktekullanmakistemedigimnickti,15.07.2021 14:06,null
"az once postaya gelen seylere baktim, first republic bank 2020 yillik rapor, kredi teklifi, bankamiza gelin size bal dokup yalayacagiz vs vs seklinde birseyler gondermis.gelen mektunun altinda ceo & president olarak adi ve imzasini gorunce, aaa turk, kim bu acaba diye bakayim biraz dedim.42 yasinda, o nasil kariyer arkadas. kendisinin onunde ceketimi ilikliyor, saygi ile egiliyorum.",gezer dover,13.01.2022 18:52,null
"gayrimenkul kredisi, yatırım ve danışmanlık şirketi greystone'un ceo'luk görevini üstlenmiş başarılı iş insanı.",link,29.06.2022 16:14,01.07.2022 13:57
söylentiler doğruysa merkez bankası başkanı olacak müthiş kariyere sahip hanımefendi.,exploit it,02.06.2023 14:03,null
"gelsin, mb bağımsız karar versin, doğru para politikaları uygulasın, bir daha kılıçtar'ın içinde bulunduğu herhangi bir organizasyona (belediye, kurultay, 6lı masa, götlü masa, el kalbi, ayak masajı) oy verirsem namussuzum.",upsskirt,03.06.2023 08:30,null
fakir acemoğlu'su.,merkez,03.06.2023 08:39,null
"kendisini tanımıyorum ama akp hükumeti ile bağlantısı olduğuna göre bu ülkeye fayda getirmeyecektir. akp sadece kendisine benzeyen, istediği gibi yönetebileceği, işi bitince de kenara atacağı insanlarla çalışır.",yarim kalan hikaye,03.06.2023 09:10,null
"kariyeri, donanımı, özgeçmişi ve bilgi birikiminden bağımsız konuşuyorum, gereksiz ve faydasız atama olacaktır. yani merkez bankasının başına ekononi sihirbazı bir profesörü de koysan, kayalar memduhiye köyü muhtarını da koysan sonuç değişmez. zira gelecek kişinin başarılı olması için bağımsız olması ve kendi fikirlerini uygulatabilmesi gereklidir. bizde bu mümkün mü? tabi ki de değil. mesela bu hanımefendi ekonominin düzelmesi için faizlerin yükselmesi gerektiğini düşünüyor diyelim; kendisini ekonomist sanan ama özünde bir şeyden haberi olmayan recep buna izin verir mi ya da faizleri yükselse bu arkadaşı o koltukta tutar mı? hiç sanmıyorum. dolayısı ile muhtemelen recep’in kuklası olacak ve o ne isterse yapacaktır. dolayısı ile o koltuk için sağlam bir cv’ye de gerek yoktur.",varyete,03.06.2023 09:28,null
