Content,Author,Date Created,Last Changed
emlak konut gyo'nun genel müdürüdür (vekaleten).,johnmgn,02.12.2010 16:08,null
asleten emlak konut genel müdürüdür lakinyüzündeki ifadehayat bitse de gitsek tadındadır.yaşı da genç oysa.yazık.,soloz,04.12.2013 01:51,null
"17 aralık 2013 ihale ve rüşvet operasyonu ile bunu da ""bilgisine başvurulmak üzere"" emniyete davet etmişler.kap bildirimi bile var:  http://www.kap.gov.tr/…ldirim-detayi.aspx?id=326687",furio,17.12.2013 17:54,null
meslegini iyi bir sekilde icra eden emlek gyo genel muduru.,theguloftottenham,09.04.2015 07:25,null
"o cv ile o yaşta emlak konut genel müdürlüğü, ilginç diyorum o kadar.",sam spade,23.11.2016 08:19,null
çevre ve şehircilik bakanlığına getirileceği konuşulan emlak konut genel müdürü.,papillonn,09.07.2018 21:22,null
"yeni çevre ve şehircilik bakanımız,hayırlı olsun,görevinde başarılar.",reallegend2121,09.07.2018 21:47,null
yeni bakanımız. hayırlı uğurlu olsun.,ozdek,09.07.2018 21:55,null
"çevre ve şehircilikten inşaat ve rant anlayışına devam...toki, ekgyo, ve kiptaş da yapılan usulsüzlüklere de devam tabi.zamaninda erdoğan bayraktar'ın dediği gibi 'soruşturma dosyasında var olan ve yasalara uygun olarak onaylanan imar planlarının büyük bir bölümü sayın başbakan'ın talimatıyla yapılmıştı' der. pardon ya ne soruşturma dosyasi, yeni türkiye'deyiz. t: ç.ş. bkn.",stevedore,09.07.2018 23:56,null
hızlı bir kariyeri olan yeni çevre ve şehircilik bakanıdır.,suursuzkedi,10.07.2018 00:10,null
"hayatından bıkmış, bezmiş bir surat ifadesi var.",stanislav petrov,07.06.2021 14:42,null
marmara denizindeki musilaj olayından sonra kendisinin yolsuzluğa karıştığı düşünülmektedir zira atık kanunlarını net bir şekilde uygulamıyor.,dogamorfingstar,10.06.2021 09:09,null
(bkz: müsilajın tehlikesiz olmasi),jotaro,15.06.2021 19:26,null
(bkz: 2023 yılında özlediğimiz ayder'e kavuşacağız),011,11.07.2021 21:03,null
(bkz: kurum),samuelibeklet,11.07.2021 21:17,null
karadeniz'in muhteşem doğasını bitirmeye and içmiş akp'lilerden sadece biridir.,vallexo,11.07.2021 21:22,null
james bond filmlerinin aranan kötü adamı tipinde mevcut çevre ve şehircilik bakanı.,kucukcekmecesizkucukbora,28.08.2021 17:33,null
(bkz: #128825684),otomatik jikle,07.10.2021 16:46,null
"güzel güzel aynen böyle devam etsinler.insanlar iş, aş, nitelikli okul, doğru düzgün barınacak bir yer bulamazken, üniversite öğrencileri koca koca şehirlerde bir başına çaresizce yurt ararken her yere çılgınlar gibi camii yapmalarını taktir ediyorum.şimdi murat kurum'un bu açıklamalarına karşı çıkanlar olacak haliyle ""ulan insanlar ev bulamıyor, öğrenciler yurt bulamıyor, insanlar iş bulamıyor ne camiisi"" diye itirazlar yükselecektir ve akabinde iktidarın bu itirazları karşılama mekanizması da şu şekilde olacaktır; ""bunlar camiiye, allah'a, dine düşman, bunlar camii istemez meyhane ister"" pek tabii buna inanıp gaza gelenler de olacaktır.hah işte o gaza gelip inananlar var ya onlara her şey müstehak!su veren itfaiyenin hortumunu....",absolute error,07.10.2021 18:50,null
tercümesi: dini politik araç olarak kullanmak için daha etkili bir program uygulayacağız.,avdil,07.10.2021 19:07,19:09
